epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.568028808,0.41856733,0.431970656,1.00E-04,0.5594576,0.6036098,0.571265519,0.427013516,0.428734541,0.740916312,0.463091224
1,0.673519492,0.532631576,0.326480299,1.00E-04,0.71666652,0.627116501,0.604110062,0.458563954,0.395889938,0.710415304,0.520677686
2,0.736897647,0.607425034,0.263102412,1.00E-04,0.789907098,0.669284701,0.667134643,0.530807555,0.332865417,0.766237438,0.581781149
3,0.782603621,0.665316403,0.217396855,1.00E-04,0.83486867,0.708323836,0.636929691,0.502800524,0.363070339,0.748747706,0.536498964
4,0.817483485,0.710320532,0.182516664,1.00E-04,0.865964949,0.740650654,0.687269449,0.560315311,0.312730432,0.825351298,0.563932002
5,0.84011656,0.740877151,0.159883589,1.00E-04,0.888954759,0.761079073,0.715142906,0.589665174,0.284856975,0.80772686,0.612568676
6,0.86206156,0.77125138,0.137938857,1.00E-04,0.904284775,0.785035849,0.700537741,0.576363087,0.299462438,0.758479536,0.633378983
7,0.870470703,0.783317626,0.129529044,1.00E-04,0.911916614,0.795539081,0.709385931,0.590670168,0.290614098,0.774940908,0.599269152
8,0.882459342,0.800569832,0.117540739,1.00E-04,0.92477423,0.806713462,0.74071002,0.625157654,0.25928995,0.770976067,0.674781442
9,0.89367348,0.816955626,0.106326878,1.00E-04,0.931943774,0.819402695,0.710295796,0.586607754,0.289704084,0.853601933,0.574063003
10,0.899944127,0.826723456,0.100055397,1.00E-04,0.936057329,0.825513661,0.7134794,0.590617657,0.286520869,0.689214587,0.647595286
11,0.908378661,0.839580834,0.091621391,1.00E-04,0.943740427,0.835775554,0.700687408,0.576802909,0.299312502,0.76968962,0.603675485
12,0.914847255,0.849390447,0.085153058,1.00E-04,0.94840616,0.844692051,0.750515044,0.641788125,0.249484926,0.758574605,0.691262066
13,0.91764617,0.854066491,0.08235354,1.00E-04,0.951582432,0.845647871,0.761970818,0.655306756,0.238029301,0.848318636,0.658930957
14,0.927554131,0.869640529,0.072446279,1.00E-04,0.957705796,0.857827544,0.744281948,0.635276198,0.255718261,0.786656976,0.670524955
15,0.930215061,0.874143064,0.069784887,1.00E-04,0.959045172,0.860877633,0.768487692,0.661701441,0.231512472,0.79725647,0.708464384
16,0.934061408,0.880483568,0.065938875,1.00E-04,0.9625296,0.864862382,0.774305582,0.667251885,0.225694373,0.808038414,0.71253711
17,0.933799446,0.880353749,0.066200428,1.00E-04,0.962730527,0.865028858,0.701249838,0.586705267,0.298750013,0.837929964,0.560119748
18,0.938289583,0.887582541,0.061709695,1.00E-04,0.965263665,0.870464802,0.773908973,0.668882549,0.226091176,0.830833197,0.711569786
19,0.940423071,0.891670585,0.059577096,1.00E-04,0.966841519,0.87290591,0.748402238,0.638527334,0.251597703,0.835914135,0.644677222
20,0.944344997,0.897863865,0.055655174,1.00E-04,0.970967054,0.877959669,0.751842678,0.640698075,0.248157561,0.768523455,0.723315299
21,0.946637809,0.901538968,0.053362336,1.00E-04,0.971639812,0.881251693,0.758541942,0.652858794,0.241458118,0.76359868,0.743008018
22,0.954855442,0.91588223,0.045145642,1.00E-05,0.977891266,0.891085863,0.785324693,0.681566298,0.214675248,0.848780811,0.701135218
23,0.959020197,0.923202336,0.040979564,1.00E-05,0.981419444,0.895023644,0.782979488,0.679552436,0.217020512,0.848383784,0.700812042
24,0.961215913,0.927118301,0.038785473,1.00E-05,0.982896805,0.897516191,0.784418106,0.681332529,0.215582088,0.845651031,0.706844211
25,0.963020384,0.930388451,0.036978882,1.00E-05,0.98420018,0.899142861,0.782415688,0.679581463,0.217584401,0.85044831,0.701625228
26,0.964532793,0.93312788,0.035468012,1.00E-05,0.985173404,0.900618851,0.782997906,0.680430472,0.217002004,0.851721227,0.70305115
27,0.965852916,0.93550849,0.034147546,1.00E-05,0.985900342,0.90194267,0.783419549,0.680080116,0.21658051,0.854091942,0.703511477
28,0.967172444,0.93783778,0.032827433,1.00E-06,0.986771405,0.902947843,0.782077849,0.678516209,0.2179223,0.850183725,0.708151281
29,0.967627048,0.938642144,0.032372952,1.00E-06,0.986771166,0.903907597,0.780888498,0.67712456,0.219111517,0.848175824,0.709279299
30,0.967896879,0.939125776,0.032103501,1.00E-06,0.986900747,0.904194057,0.780631423,0.676863253,0.219368681,0.848798215,0.708345056
